2,2,1,512,1.186,0.22
8,2,4,512,0.529,0.50
32,2,16,512,0.455,0.58
4,4,1,512,0.825,0.32
16,4,4,512,0.383,0.69
64,2,4,512,0.596,0.44
6,6,1,512,0.578,0.45
24,2,16,512,0.253,1.04
96,2,16,512,0.356,0.74
8,2,16,512,0.503,0.52
32,8,4,512,0.316,0.83
128,8,16,512,0.861,0.31
2,2,1,1024,4.255,0.25
8,4,16,1024,1.517,0.69
32,4,16,1024,0.581,1.81
4,4,16,1024,2.601,0.40
16,4,4,1024,1.052,1.00
64,4,16,1024,0.761,1.38
6,6,1,1024,1.920,0.55
24,6,16,1024,0.639,1.64
96,6,16,1024,0.433,2.42
8,6,16,1024,1.544,0.68
32,8,4,1024,0.693,1.51
128,8,16,1024,0.893,1.18
2,2,1,4096,64.111,0.26
8,2,4,4096,20.862,0.80
32,2,16,4096,6.728,2.49
4,4,1,4096,37.596,0.45
16,4,4,4096,11.526,1.46
64,8,16,4096,4.020,4.17
6,6,1,4096,26.412,0.64
24,2,1,4096,7.582,2.21
96,2,1,4096,2.749,6.10
8,8,1,4096,20.260,0.83
32,2,16,4096,6.178,2.72
128,2,16,4096,2.669,6.29
2,2,1,10000,380.706,0.26
8,2,4,10000,122.838,0.81
32,2,16,10000,39.127,2.56
4,4,1,10000,222.106,0.45
16,4,4,10000,64.524,1.55
64,4,16,10000,20.310,4.92
6,6,1,10000,156.526,0.64
24,6,4,10000,43.846,2.28
96,6,16,10000,13.699,7.30
8,8,1,10000,118.810,0.84
32,8,4,10000,34.105,2.93
128,2,1,10000,11.362,8.80
2,2,1,512,1.182,0.22
8,2,1,512,0.545,0.48
32,2,1,512,0.446,0.59
4,2,1,512,0.813,0.32
16,2,1,512,0.395,0.67
64,2,1,512,0.534,0.49
6,2,1,512,0.565,0.47
24,2,1,512,0.238,1.10
96,2,1,512,0.288,0.91
8,2,1,512,0.515,0.51
32,2,1,512,0.349,0.75
128,2,1,512,0.809,0.32
2,2,1,1024,4.209,0.25
8,2,1,1024,1.553,0.68
32,2,1,1024,0.785,1.34
4,2,1,1024,2.590,0.41
16,2,1,1024,1.034,1.02
64,2,1,1024,0.730,1.44
6,2,1,1024,1.878,0.56
24,2,1,1024,0.664,1.58
96,2,1,1024,0.436,2.41
8,2,1,1024,1.551,0.68
32,2,1,1024,0.662,1.58
128,2,1,1024,1.083,0.97
2,2,1,4096,64.088,0.26
8,2,1,4096,20.940,0.80
32,2,1,4096,6.741,2.49
4,2,1,4096,37.569,0.45
16,2,4,4096,11.454,1.47
64,2,4,4096,3.980,4.22
6,6,1,4096,26.316,0.64
24,2,16,4096,7.509,2.23
96,2,16,4096,2.662,6.31
8,8,1,4096,20.505,0.82
32,4,1,4096,6.165,2.72
128,4,1,4096,2.664,6.30
2,2,1,10000,380.429,0.26
8,2,4,10000,123.252,0.81
32,2,16,10000,39.078,2.56
4,4,1,10000,222.089,0.45
16,2,1,10000,64.357,1.55
64,2,1,10000,21.392,4.68
6,6,1,10000,155.425,0.64
24,6,4,10000,44.593,2.24
96,6,16,10000,13.864,7.21
8,8,1,10000,119.097,0.84
32,8,4,10000,33.755,2.96
128,8,16,10000,11.011,9.08
2,8,1,512,1.204,0.22
8,8,1,512,0.495,0.53
32,8,1,512,0.453,0.58
4,4,1,512,0.792,0.33
16,8,4,512,0.358,0.73
64,8,4,512,0.546,0.48
6,6,1,512,0.570,0.46
24,8,16,512,0.183,1.44
96,8,16,512,0.345,0.76
8,8,16,512,0.512,0.51
32,8,16,512,0.368,0.71
128,8,16,512,0.833,0.32
2,2,1,1024,4.164,0.25
8,2,4,1024,1.608,0.65
32,2,16,1024,0.787,1.33
4,4,1,1024,2.576,0.41
16,4,4,1024,1.046,1.00
64,4,16,1024,0.783,1.34
6,6,1,1024,1.871,0.56
24,6,4,1024,0.646,1.62
96,6,16,1024,0.437,2.40
8,8,1,1024,1.563,0.67
32,8,4,1024,0.675,1.55
128,8,16,1024,1.060,0.99
2,2,1,4096,64.148,0.26
8,2,4,4096,21.184,0.79
32,2,16,4096,6.995,2.40
4,4,1,4096,37.566,0.45
16,4,4,4096,11.309,1.48
64,4,16,4096,3.958,4.24
6,6,1,4096,26.351,0.64
24,6,4,4096,7.763,2.16
96,6,16,4096,2.683,6.25
8,8,1,4096,20.284,0.83
32,8,4,4096,5.983,2.81
128,8,16,4096,2.655,6.32
2,2,1,10000,380.423,0.26
8,2,4,10000,123.309,0.81
32,2,16,10000,38.944,2.57
4,4,1,10000,222.173,0.45
16,4,4,10000,64.374,1.55
64,4,16,10000,20.342,4.92
6,6,1,10000,155.545,0.64
24,6,4,10000,44.239,2.26
96,6,16,10000,13.975,7.16
8,8,1,10000,118.523,0.84
32,8,4,10000,33.371,3.00
128,8,16,10000,11.150,8.97
