2,4,4,512,0.942,0.28
8,2,4,512,3.411,0.08
32,2,16,512,17.168,0.02
4,4,1,512,0.158,1.66
16,4,4,512,3.542,0.07
64,4,16,512,17.399,0.02
6,6,1,512,0.109,2.41
24,6,4,512,3.572,0.07
96,6,16,512,17.149,0.02
8,8,1,512,0.160,1.64
32,8,4,512,3.646,0.07
128,2,1,512,17.665,0.01
2,2,1,1024,3.329,0.32
8,2,1,1024,3.699,0.28
32,2,1,1024,17.410,0.06
4,4,1,1024,0.439,2.39
16,2,4,1024,3.653,0.29
64,4,16,1024,17.580,0.06
6,6,1,1024,0.290,3.63
24,4,1,1024,3.570,0.29
96,4,1,1024,17.260,0.06
8,4,1,1024,0.285,3.68
32,8,4,1024,3.823,0.27
128,8,16,1024,17.696,0.06
2,2,1,4096,49.505,0.34
8,8,1,4096,8.372,2.00
32,2,16,4096,21.681,0.77
4,4,1,4096,4.962,3.38
16,2,1,4096,6.237,2.69
64,2,1,4096,19.701,0.85
6,2,1,4096,3.440,4.88
24,2,1,4096,5.482,3.06
96,2,1,4096,18.824,0.89
8,2,1,4096,2.646,6.34
32,2,1,4096,5.062,3.32
128,2,1,4096,18.897,0.89
2,2,1,10000,294.282,0.34
8,2,4,10000,32.222,3.10
32,2,4,10000,45.095,2.22
4,2,16,10000,36.051,2.77
16,4,4,10000,18.414,5.43
64,4,1,10000,31.517,3.17
6,4,1,10000,25.100,3.98
24,4,1,10000,13.509,7.40
96,4,1,10000,26.895,3.72
8,4,1,10000,19.352,5.17
32,4,1,10000,11.642,8.59
128,4,1,10000,24.896,4.02
2,4,1,512,0.929,0.28
8,4,1,512,3.406,0.08
32,2,16,512,17.179,0.02
4,4,4,512,0.153,1.72
16,4,4,512,3.560,0.07
64,4,4,512,17.322,0.02
6,4,4,512,0.106,2.48
24,4,4,512,3.477,0.08
96,6,16,512,17.201,0.02
8,4,16,512,0.159,1.65
32,4,16,512,3.787,0.07
128,8,16,512,17.678,0.01
2,6,1,1024,3.230,0.33
8,6,1,1024,3.635,0.29
32,6,1,1024,17.436,0.06
4,6,1,1024,0.398,2.64
16,6,1,1024,3.612,0.29
64,6,1,1024,17.548,0.06
6,6,1,1024,0.300,3.50
24,6,1,1024,3.698,0.28
96,6,1,1024,17.221,0.06
8,6,1,1024,0.296,3.54
32,6,1,1024,3.801,0.28
128,8,16,1024,17.916,0.06
2,2,1,4096,49.589,0.34
8,6,16,4096,8.351,2.01
32,2,16,4096,21.569,0.78
4,8,1,4096,5.064,3.31
16,8,1,4096,6.286,2.67
64,8,1,4096,19.742,0.85
6,8,1,4096,3.492,4.81
24,8,1,4096,5.492,3.06
96,8,1,4096,18.762,0.89
8,8,1,4096,2.680,6.26
32,8,4,4096,5.192,3.23
128,8,4,4096,18.814,0.89
2,2,1,10000,296.634,0.34
8,2,4,10000,32.277,3.10
32,2,16,10000,45.006,2.22
4,4,1,10000,36.136,2.77
16,2,1,10000,18.601,5.38
64,2,1,10000,31.489,3.18
6,2,1,10000,24.628,4.06
24,2,1,10000,13.912,7.19
96,2,1,10000,26.780,3.73
8,2,1,10000,14.729,6.79
32,2,1,10000,11.505,8.69
128,2,1,10000,24.765,4.04
2,2,1,512,0.910,0.29
8,2,1,512,3.443,0.08
32,2,1,512,17.012,0.02
4,2,1,512,0.142,1.86
16,2,1,512,3.512,0.07
64,2,1,512,17.374,0.02
6,2,1,512,0.119,2.21
24,2,1,512,3.617,0.07
96,2,1,512,17.172,0.02
8,2,1,512,0.139,1.90
32,2,1,512,3.736,0.07
128,2,1,512,17.720,0.01
2,2,1,1024,3.231,0.32
8,2,1,1024,3.617,0.29
32,2,1,1024,17.462,0.06
4,2,4,1024,0.395,2.66
16,2,4,1024,3.722,0.28
64,2,4,1024,17.505,0.06
6,2,4,1024,0.290,3.62
24,2,4,1024,3.593,0.29
96,2,4,1024,17.149,0.06
8,2,4,1024,0.282,3.72
32,2,4,1024,3.716,0.28
128,2,4,1024,17.861,0.06
2,2,1,4096,49.886,0.34
8,2,4,4096,8.348,2.01
32,4,1,4096,21.769,0.77
4,4,1,4096,5.166,3.25
16,4,1,4096,6.273,2.68
64,4,1,4096,19.795,0.85
6,4,1,4096,3.470,4.84
24,4,1,4096,5.641,2.98
96,4,1,4096,18.738,0.90
8,4,1,4096,2.638,6.36
32,4,1,4096,5.123,3.28
128,4,1,4096,18.876,0.89
2,2,1,10000,294.066,0.34
8,2,4,10000,32.283,3.10
32,2,16,10000,45.036,2.22
4,4,1,10000,36.089,2.77
16,8,1,10000,18.433,5.43
64,8,1,10000,31.508,3.17
6,8,1,10000,25.076,3.99
24,6,4,10000,13.746,7.28
96,6,16,10000,26.895,3.72
8,8,1,10000,19.404,5.15
32,8,4,10000,11.665,8.57
128,8,16,10000,24.936,4.01
